,TTF_Price,Avg_Temp_C,HDD,Predicted_Price,Residuals
2023-01-24,58.26900100708008,0.9,17.1,55.09299458379155,3.176006423288527
2023-01-25,56.65999984741211,0.6,17.4,54.91760725482652,1.7423925925855883
2023-01-26,54.814998626708984,4.9,13.1,57.431492303325236,-2.616493676616251
2023-01-27,55.42499923706055,3.6,14.4,56.671480544476786,-1.2464813074162393
2023-01-28,55.42499923706055,2.9,15.1,56.26224344355839,-0.8372442064978429
2023-01-29,55.42499923706055,5.1,12.9,57.548417189301915,-2.1234179522413683
2023-01-30,55.15599822998047,6.8,11.2,58.54227872010374,-3.3862804901232693
2023-01-31,57.35200119018555,6.9,11.1,58.60074116309208,-1.2487399729065345
2023-02-01,59.527000427246094,7.1,10.9,58.71766604906876,0.8093343781773328
2023-02-02,57.040000915527344,8.0,10.0,59.243828035963844,-2.2038271204365003
2023-02-03,57.888999938964844,8.8,9.2,59.71152757987058,-1.822527640905733
2023-02-04,57.888999938964844,7.6,10.4,59.00997826401047,-1.1209783250456269
2023-02-05,57.888999938964844,6.2,11.8,58.191504062173685,-0.30250412320884124
2023-02-06,58.10900115966797,3.0,15.0,56.32070588654673,1.7882952731212356
2023-02-07,55.40299987792969,0.2,17.8,54.683757482873155,0.7192423950565328
2023-02-08,53.6870002746582,0.3,17.7,54.7422199258615,-1.055219651203295
2023-02-09,52.73400115966797,2.2,15.8,55.85300634264,-3.1190051829720318
2023-02-10,53.946998596191406,4.7,13.3,57.31456741734855,-3.3675688211571426
2023-02-11,53.946998596191406,7.5,10.5,58.95151582102213,-5.004517224830721
2023-02-12,53.946998596191406,6.8,11.2,58.54227872010374,-4.595280123912332
2023-02-13,51.707000732421875,6.5,11.5,58.36689139113871,-6.659890658716833
2023-02-14,52.38600158691406,4.5,13.5,57.19764253137187,-4.811640944457807
2023-02-15,54.715999603271484,4.3,13.7,57.08071764539518,-2.364718042123698
2023-02-16,52.01100158691406,8.0,10.0,59.243828035963844,-7.232826449049782
2023-02-17,49.047000885009766,10.0,8.0,60.41307689573068,-11.366076010720917
2023-02-18,49.047000885009766,9.7,8.3,60.23768956676565,-11.190688681755887
2023-02-19,49.047000885009766,7.4,10.6,58.89305337803379,-9.846052493024025
2023-02-20,49.047000885009766,8.0,10.0,59.243828035963844,-10.196827150954078
2023-02-21,48.54199981689453,8.6,9.4,59.59460269389389,-11.052602876999359
2023-02-22,50.56800079345703,6.4,11.6,58.308428948150365,-7.740428154693333
2023-02-23,50.779998779296875,6.2,11.8,58.191504062173685,-7.41150528287681
2023-02-24,51.01300048828125,4.9,13.1,57.431492303325236,-6.418491815043986
2023-02-25,51.01300048828125,4.2,13.8,57.02225520240684,-6.009254714125589
2023-02-26,51.01300048828125,3.0,15.0,56.32070588654673,-5.307705398265483
2023-02-27,47.29899978637695,3.4,14.6,56.55455565850011,-9.255555872123153
2023-02-28,46.665000915527344,2.4,15.6,55.96993122861668,-9.304930313089336
2023-03-01,47.08399963378906,1.4,16.6,55.38530679873326,-8.301307164944198
2023-03-02,46.814998626708984,2.9,15.1,56.26224344355839,-9.447244816849405
2023-03-03,44.97999954223633,4.1,13.9,56.963792759418496,-11.983793217182168
2023-03-04,44.97999954223633,6.0,12.0,58.074579176197,-13.09457963396067
2023-03-05,44.97999954223633,4.2,13.8,57.02225520240684,-12.042255660170511
2023-03-06,42.14899826049805,4.1,13.9,56.963792759418496,-14.814794498920449
2023-03-07,43.369998931884766,2.5,15.5,56.02839367160502,-12.658394739720258
2023-03-08,42.3390007019043,1.0,17.0,55.151457026779894,-12.812456324875598
2023-03-09,43.5989990234375,1.6,16.4,55.50223168470995,-11.903232661272448
2023-03-10,52.856998443603516,1.6,16.4,55.50223168470995,-2.645233241106432
2023-03-11,52.856998443603516,1.7,16.3,55.560694127698284,-2.703695684094768
2023-03-12,52.856998443603516,6.4,11.6,58.308428948150365,-5.451430504546849
2023-03-13,49.58399963378906,11.9,6.1,61.523863312509185,-11.939863678720123
2023-03-14,44.185001373291016,6.4,11.6,58.308428948150365,-14.123427574859349
2023-03-15,42.904998779296875,4.6,13.4,57.256104974360206,-14.35110619506333
2023-03-16,44.340999603271484,8.0,10.0,59.243828035963844,-14.90282843269236
2023-03-17,42.856998443603516,11.0,7.0,60.9977013256141,-18.140702882010586
2023-03-18,42.856998443603516,11.1,6.9,61.056163768602445,-18.19916532499893
2023-03-19,42.856998443603516,9.2,8.8,59.94537735182394,-17.088378908220427
2023-03-20,39.32500076293945,7.8,10.2,59.12690314998716,-19.801902387047704
2023-03-21,42.400001525878906,10.2,7.800000000000001,60.53000178170737,-18.130000255828463
2023-03-22,39.974998474121094,10.4,7.6,60.64692666768405,-20.671928193562955
2023-03-23,43.18600082397461,11.8,6.199999999999999,61.46540086952084,-18.279400045546232
2023-03-24,41.09400177001953,10.5,7.5,60.70538911067239,-19.61138734065286
2023-03-25,41.09400177001953,8.5,9.5,59.536140250905554,-18.442138480886022
2023-03-26,41.09400177001953,6.1,11.9,58.13304161918534,-17.03903984916581
2023-03-27,42.52799987792969,4.6,13.4,57.256104974360206,-14.728105096430518
2023-03-28,42.75199890136719,4.3,13.7,57.08071764539518,-14.328718744027995
2023-03-29,42.803001403808594,10.0,8.0,60.41307689573068,-17.61007549192209
2023-03-30,43.60900115966797,11.6,6.4,61.348475983544155,-17.739474823876186
2023-03-31,47.845001220703125,10.3,7.699999999999999,60.58846422469571,-12.743463003992588
2023-04-01,47.845001220703125,9.1,8.9,59.88691490883561,-12.041913688132482
2023-04-02,47.845001220703125,5.7,12.3,57.899191847231975,-10.05419062652885
2023-04-03,51.367000579833984,4.7,13.3,57.31456741734855,-5.9475668375145645
2023-04-04,46.56800079345703,4.3,13.7,57.08071764539518,-10.512716851938151
2023-04-05,44.57500076293945,5.1,12.9,57.548417189301915,-12.973416426362462
2023-04-06,43.125,6.3,11.7,58.24996650516202,-15.124966505162021
2023-04-07,43.125,8.3,9.7,59.41921536492887,-16.294215364928867
2023-04-08,43.125,8.5,9.5,59.536140250905554,-16.411140250905554
2023-04-09,43.125,10.5,7.5,60.70538911067239,-17.580389110672392
2023-04-10,43.125,10.2,7.800000000000001,60.53000178170737,-17.40500178170737
2023-04-11,43.69200134277344,9.2,8.8,59.94537735182394,-16.253376009050506
2023-04-12,42.880001068115234,8.7,9.3,59.65306513688223,-16.773064068767
2023-04-13,42.09299850463867,7.9,10.1,59.1853655929755,-17.09236708833683
2023-04-14,41.14899826049805,8.6,9.4,59.59460269389389,-18.445604433395843
2023-04-15,41.14899826049805,8.8,9.2,59.71152757987058,-18.56252931937253
2023-04-16,41.14899826049805,8.6,9.4,59.59460269389389,-18.445604433395843
2023-04-17,41.12699890136719,9.8,8.2,60.296152009753996,-19.16915310838681
2023-04-18,42.72200012207031,9.2,8.8,59.94537735182394,-17.22337722975363
2023-04-19,40.29800033569336,9.7,8.3,60.23768956676565,-19.939689231072293
2023-04-20,40.564998626708984,8.2,9.8,59.360752921940524,-18.79575429523154
2023-04-21,40.16400146484375,10.9,7.1,60.93923888262576,-20.77523741778201
2023-04-22,40.16400146484375,8.9,9.1,59.76999002285892,-19.60598855801517
2023-04-23,40.16400146484375,11.1,6.9,61.056163768602445,-20.892162303758695
2023-04-24,39.92499923706055,8.3,9.7,59.41921536492887,-19.49421612786832
2023-04-25,39.83300018310547,6.3,11.7,58.24996650516202,-18.416966322056552
2023-04-26,38.55099868774414,6.1,11.9,58.13304161918534,-19.5820429314412
2023-04-27,39.03900146484375,7.6,10.4,59.00997826401047,-19.97097679916672
2023-04-28,38.53799819946289,10.0,8.0,60.41307689573068,-21.875078696267792
2023-04-29,38.53799819946289,10.4,7.6,60.64692666768405,-22.10892846822116
2023-04-30,38.53799819946289,11.1,6.9,61.056163768602445,-22.518165569139555
2023-05-01,38.83399963378906,11.1,6.9,61.056163768602445,-22.222164134813383
2023-05-02,37.52899932861328,9.2,8.8,59.94537735182394,-22.41637802321066
2023-05-03,36.78200149536133,8.8,9.2,59.71152757987058,-22.92952608450925
2023-05-04,35.65299987792969,13.2,4.800000000000001,62.28387507135763,-26.63087519342794
2023-05-05,36.57400131225586,13.4,4.6,62.400799957334314,-25.826798645078455
2023-05-06,36.57400131225586,14.2,3.8000000000000007,62.868499501241054,-26.294498188985195
2023-05-07,36.57400131225586,14.9,3.0999999999999996,63.27773660215944,-26.703735289903584
2023-05-08,36.874000549316406,14.3,3.6999999999999993,62.9269619442294,-26.05296139491299
2023-05-09,35.95000076293945,13.4,4.6,62.400799957334314,-26.45079919439486
2023-05-10,34.99300003051758,12.6,5.4,61.933100413427574,-26.940100382909996
2023-05-11,34.99300003051758,13.2,4.800000000000001,62.28387507135763,-27.29087504084005
2023-05-12,32.766998291015625,15.5,2.5,63.628511260089496,-30.86151296907387
2023-05-13,32.766998291015625,15.1,2.9000000000000004,63.39466148813613,-30.627663197120505
2023-05-14,32.766998291015625,13.3,4.699999999999999,62.34233751434597,-29.575339223330346
2023-05-15,32.31399917602539,10.7,7.300000000000001,60.82231399664908,-28.50831482062369
